,name,address,bedroom,bathroom,area,price/m2,price,description,link
5105,Dijual Rumah setra murni murah minimalis jarang ada,"Setra Murni, Bandung, Jawa Barat",3,3,174 m²,Rp 18.965.517 per m²,"Rp 1,65 M",,https://www.rumah.com/listing-properti/dijual-dijual-rumah-setra-murni-murah-minimalis-jarang-ada-oleh-tommy-tri-santoso-16368441
5106,"Jl. Kembar Timur, Cigereleng, Kec. Regol, Kota Bandung, Jawa Barat 40253, Indonesia","Jalan Kembar Timur, Bkr Kembar, Bandung, Jawa Barat",2,2,120 m²,Rp 14.285.714 per m²,Rp 3 M,,https://www.rumah.com/listing-properti/dijual-jl-kembar-timur-cigereleng-kec-regol-kota-bandung-jawa-barat-40253-indonesia-oleh-mey-sin-16808189
5107,Batununggal Indah Estate,"Jl. Soekarno Hatta, Dayeuh Kolot, Bandung, Dayeuhkolot, Bandung, Jawa Barat",2,1,50 m²,Rp 15.476.190 per m²,"Rp 1,3 M",,https://www.rumah.com/listing-properti/dijual-batununggal-indah-estate-oleh-sasa-17152158
5108,Rumah Bandung Timur Murah Dp Ringan 5%,"jl derwati, ciwastra, buah batu, Ciwastra, Bandung, Jawa Barat",2,1,41 m²,Rp 8.578.472 per m²,"Rp 617,65 jt",,https://www.rumah.com/listing-properti/dijual-rumah-bandung-timur-murah-dp-ringan-5-oleh-sasa-17121405
5109,Batununggal Indah,". Jl Soekarno Hatta, Dayeuh Kolot, Bandung, Dayeuhkolot, Bandung, Jawa Barat",3,3,155 m²,Rp 19.047.619 per m²,"Rp 2,8 M",,https://www.rumah.com/listing-properti/dijual-batununggal-indah-oleh-sasa-16877081
5110,Mekar Wangi,". Jl Mekar Kencana, Mekar Wangi, Bojongloa Kidul, Mekar Wangi, Bandung, Jawa Barat",2,1,90 m²,Rp 14.166.667 per m²,"Rp 1,7 M",,https://www.rumah.com/listing-properti/dijual-mekar-wangi-oleh-sasa-16796206
5111,Batununggal Indah,". Jl Soekarno Hatta, Dayeuh Kolot, Bandung, Dayeuhkolot, Bandung, Jawa Barat",4,3,132 m²,Rp 16.431.818 per m²,"Rp 3,615 M",,https://www.rumah.com/listing-properti/dijual-batununggal-indah-oleh-sasa-16788385
5112,rumah baru bandung timur derwati mas,"derwati mas, ciwastra, Bandung Timur, Bandung, Jawa Barat",2,1,52 m²,Rp 7.254.042 per m²,"Rp 696,388 jt",,https://www.rumah.com/listing-properti/dijual-rumah-baru-bandung-timur-derwati-mas-oleh-sasa-16720227
5113,singgasana pradana,"singgasana pradana, Singgasana Pradana, Bandung, Jawa Barat",3,3,260 m²,Rp 14.743.590 per m²,"Rp 4,6 M",,https://www.rumah.com/listing-properti/dijual-singgasana-pradana-oleh-linda-macmura-15557027
5114,Singgasana Pradana,". Jl. Moh. Toha, Mekar Wangi Bandung, Mekar Wangi, Bandung, Jawa Barat",4,3,165 m²,Rp 12.000.000 per m²,"Rp 2,4 M",,https://www.rumah.com/listing-properti/dijual-singgasana-pradana-oleh-hendrijanty-wibowo-17368084
5115,CLUSTER NEW SOETTA,"jl Cijawura girang sekejati buahbatu bandung, Buahbatu, Bandung, Jawa Barat",2,1,80 m²,Rp 12.605.042 per m²,"Rp 1,5 M",,https://www.rumah.com/listing-properti/dijual-cluster-new-soetta-oleh-yudha-17368024
5116,Singgasana Pradana,". Jl. Moh. Toha, Mekar Wangi Bandung, Mekar Wangi, Bandung, Jawa Barat",4,3,135 m²,Rp 11.000.000 per m²,"Rp 2,2 M",,https://www.rumah.com/listing-properti/dijual-singgasana-pradana-oleh-hendrijanty-wibowo-17368055
5117,Sukaresmi Dago,"Dago Giri, Dago, Bandung, Jawa Barat",6,5,500 m²,Rp 16.309.013 per m²,"Rp 3,8 M",,https://www.rumah.com/listing-properti/dijual-sukaresmi-dago-oleh-ai-solihat-16570624
5118,Pratista. Rumah Dijual komplek Antapani Bandung Timur,"Jalan Pratista Utara II, Antapani, Bandung, Jawa Barat",4,2,85 m²,Rp 7.500.000 per m²,"Rp 1,5 M",,https://www.rumah.com/listing-properti/dijual-pratista-rumah-dijual-komplek-antapani-bandung-timur-oleh-jimmy-sundjaja-13340852
5119,rumah cibogo,"Bandung Utara, Bandung, Jawa Barat",8,5,200 m²,Rp 11.231.884 per m²,"Rp 1,55 M",,https://www.rumah.com/listing-properti/dijual-rumah-cibogo-oleh-adi-sutrisno-15448625
